,Category_Name,Category_Description,Sub-Category_Name,Sub-Category_Description,Notes
V1,Plan,"This stage focuses on defining the scope, objectives, and security requirements for the upcoming iteration. It includes assessing potential risks, establishing security baselines, and aligning plans with business goals and compliance needs. In line with SPVS principles, planning is not a one-time activity — it incorporates feedback loops, postmortems, threat modeling, and lessons learned from previous iterations, incidents, or audits. This ensures continuous improvement in both product quality and security posture over time.",,,
,,,Hardening User Machines,"Apply security controls to developer and administrative workstations to reduce the attack surface. This includes OS hardening, secure configurations, endpoint protection, and enforcement of minimum security baselines for all user-accessible systems involved in the development lifecycle.",
,,,Developer Security Training,"Deliver recurring, role-specific security training for developers to promote secure coding habits, threat awareness, and adherence to organizational security policies. Training content should evolve based on new risks, incidents, and past learnings.",
,,,Security Requirements and Risk Assessment,"Identify and document security requirements alongside functional requirements. Perform risk assessments and threat modeling to anticipate potential vulnerabilities, drive architectural decisions, and prioritize mitigations based on impact.",
,,,Developer Tool Operation,"stablish policies for approved development tools, plugins, and IDE configurations to prevent the use of insecure or unvetted software. Enforce secure defaults and define usage standards that align with organizational security policies.",
,,,Identity and Access Management,"Plan and govern access control policies for development and administrative roles. Ensure identity federation, least privilege, and periodic access reviews are in place to protect sensitive systems from unauthorized access during all stages of development.",
,,,Source Code Management Hardening,"Define and enforce security controls for the source code management (SCM) platform. This includes repository access restrictions, branch protection rules, enforced reviews, audit logging, and secrets scanning policies to ensure code integrity and traceability.",
V2,Develop,"During the develop stage, developers focus on writing code with security built in from the start, adopting both a security-first mindset and toolset. The SPVS promotes secure coding standards, continuous code reviews, and the integration of tools that automatically detect vulnerabilities as code is written—ensuring issues are addressed early and efficiently within the development workflow.",,,
,,,Secure Coding Practices,"Apply secure coding guidelines and standards throughout development to prevent common vulnerabilities like SQL injection, cross-site scripting (XSS), and others. Following these best practices early helps ensure a more secure codebase before it enters the pipeline.",
,,,Software Quality,"Consistently run quality, linting, and style checks during development, as unresolved technical debt can quickly evolve into security debt. Addressing these issues early helps maintain clean, secure, and maintainable code before it enters the pipeline.",
,,,Code Review and Analysis,Conduct regular code reviews and leverage static code analysis tools during development to catch and remediate security issues early. Identifying problems at this stage strengthens security and reduces risk before the code reaches the pipeline.,
,,,Perform Security Checks,"Before committing code, developers should use security tools like SAST, SCA, IaC scanners, container analysis, and secret scanning within their development environment. Running these tools locally helps catch vulnerabilities early, reduces noise in the pipeline, and ensures more secure code is delivered from the start.",
,,,Credential Hygiene,"Credential hygiene during development involves securely handling secrets like passwords, tokens, and keys on the developer’s local system. Avoid hardcoding, use secure storage or environment variables, and ensure credentials aren’t committed. Regularly rotate and remove unused credentials to maintain security.",
,,,3rd Party library Audit,"Before committing code, developers should review third-party libraries for common security risks. Outdated, deprecated, or unnecessary libraries—like unused logging tools—can introduce vulnerabilities and expand the attack surface. By identifying and mitigating these issues early, developers reduce the risk of supply chain attacks and improve overall security before the code enters the pipeline.",
,,,Unit Testing,"Before code is pushed, each push should pass some local unit test to ensure application interfaces can withstand specific malicious activity (e.g. specific findings from a pentest that are not discovered by automated security scanners).",
V3,Integrate (CI*),"At this stage of the development pipeline, code enters a system where new features are integrated into the main codebase and must pass predefined security checkpoints before moving toward deployment. Security is tightly woven into the process through automated validation, artifact integrity checks, and protection of the build environment against tampering. The SPVS framework reinforces this by introducing structured, repeatable security tests and scans, ensuring early detection of vulnerabilities and consistent alignment with compliance standards",,,
,,,Security of Pipeline Environment,"Ensure your pipeline system is hardened, built with security by design, and aligned with industry best practices.",
