category_id,catagory_name,sub-category_id,sub-catagory_name,req_id,req_description,level 1,level 2,level 3,NIST,OWASP_CICD_Risk,cwe_mapping,cwe_description
V1,Plan,V1.1,Identity and Access Management,V1.1.1,Verify that Multi-Factor Authentication (MFA) is enabled for accessing developer laptops and critical systems,,X,,"NIST 800-53: IA-2(1,2,12), IA-5",CICD-SEC-2,CWE-308;CWE-287,Use of Single-Factor Authentication;Improper Authentication - Weak authentication mechanisms
V1,Plan,V1.1,Identity and Access Management,V1.1.2,Verify that all identities (human and programmatic) are managed through a centralized Identity Provider (IdP),,,X,NIST 800-53: AC-2,CICD-SEC-2,CWE-287,Improper Authentication - Inconsistent authentication mechanisms
V1,Plan,V1.1,Identity and Access Management,V1.1.3,Verify all tools in documented software pipeline follow access permisions as it relates to principle of least privilage,,,X,NIST 800-53: AC-6,CICD-SEC-2,CWE-250,Execution with Unnecessary Privileges - Excessive permissions
V1,Plan,V1.1,Identity and Access Management,V1.1.4,Verify that stale identities are disabled or removed after a predetermined period of inactivity,,,X,NIST 800-53: AC-2(3),CICD-SEC-2,CWE-287,Improper Authentication - Failure to manage authentication lifecycle
V1,Plan,V1.1,Identity and Access Management,V1.1.5,Verify service account tokens are reviewed for over-permissioning in both VCS and pipeline tool/secret store,,X,,NIST 800-53: AC-6,CICD-SEC-6,CWE-266(732),CWE-266: Incorrect Privilege Assignment; CWE-732: Incorrect Permission Assignment for Critical Resource;
V1,Plan,V1.1,Identity and Access Management,V1.1.6,Verify Version Control System requires MFA for all users,,X,,"NIST 800-53: IA-2(1,2,12), IA-5",CICD-SEC-2,CWE-308;CWE-287,Use of Single-Factor Authentication;Improper Authentication - VCS access security
V1,Plan,V1.1,Identity and Access Management,V1.1.7,Verify Quarterly audit on Version Control System administrators,,X,,"NIST 800-53: AC-2(7), AU-6",CICD-SEC-10,CWE-223;CWE-778,Omission of Security-relevant Information;Insufficient Logging - Audit trail maintenance
V1,Plan,V1.1,Identity and Access Management,V1.1.8,Verify that secrets are encrypted both at rest and in transit,X,,,"NIST 800-53: SC-12, SC-13",CICD-SEC-6,CWE-319;CWE-312,Cleartext Transmission of Sensitive Information;Cleartext Storage of Sensitive Information - Secrets encryption
V1,Plan,V1.2,Hardening User Machines,V1.2.1,Verify Endpoint Protection is running,X,,,NIST 800-53: SI-3,CICD-SEC-4,CWE-693,Protection Mechanism Failure - Missing protection against system compromise
V1,Plan,V1.2,Hardening User Machines,V1.2.2,Verify Endpoint Protection is set to routinely update,X,,,"NIST 800-53: SI-3, SI-2",CICD-SEC-4(2),CWE-1104,Use of Unmaintained Third Party Components - Failure to maintain security tools
V1,Plan,V1.2,Hardening User Machines,V1.2.3,Verify Full Disk encryption is setup and enabled on developer laptops,X,,,"NIST 800-53: SC-28, SC-12",CICD-SEC-4,CWE-311,Missing Encryption of Sensitive Data - Lack of data protection at rest
V1,Plan,V1.2,Hardening User Machines,V1.2.4,Verify Patch Management is setup and enabled on developer laptops,X,,,"NIST 800-53: SI-2, CM-3",CICD-SEC-4,CWE-1104/937,Use of Unmaintained Third Party Components - Failure to maintain system security
V1,Plan,V1.2,Hardening User Machines,V1.2.5,Verify that developer machines are configured to lock automatically after a period of inactivity,,,X,NIST 800-53: AC-11,CICD-SEC-4,CWE-613,Insufficient Session Expiration - Failure to terminate inactive sessions
V1,Plan,V1.2,Hardening User Machines,V1.2.6,Verify that the applicable controls from the relevant CIS Benchmark for OS hardening are in place.,,,X,NIST 800-53: CM-2,CICD-SEC-4,CWE-16,Umbrella weakness category for “Configuration” issues.
V1,Plan,V1.3,Security Requirements and Risk Assessment,V1.3.1,Verify a documented software pipeline exists,X,,,NIST 800-53: PL1,CICD-SEC-4,CWE-1053,Missing Documentation for Design
V1,Plan,V1.3,Security Requirements and Risk Assessment,V1.3.2,Verify established Secure Development policy covers at minimum OWASP Top 10 pipeline Security Risks,X,,,NIST 800-53: SA-15,CICD-SEC-7,CWE-756,Missing Custom Error Page - Inadequate security documentation and guidance
V1,Plan,V1.3,Security Requirements and Risk Assessment,V1.3.3,Verify established Secure OSS policy,,X,,NIST 800-53: SA-12,CICD-SEC-3,CWE-1104,Use of Unmaintained Third Party Components - Lack of third-party software management
V1,Plan,V1.3,Security Requirements and Risk Assessment,V1.3.4,Verify established Security Policy related to Secrets/Credentials ,X,,,NIST 800-53: AC-1,CICD-SEC-6,"CWE-308 (287, 798, 522)",CWE-308: Use of Single-Factor Authentication; CWE-287: Improper Authentication; CWE-798: Use of Hard-coded Credentials; CWE-522: Insufficiently Protected Credentials
V1,Plan,V1.3,Security Requirements and Risk Assessment,V1.3.5,"Verify developer have reviewed Secure Development policy, specifically as it pertains to OWASP Top 10 pipeline Security Risks",X,,,NIST 800-53: AT-2,CICD-SEC-7,CWE-756,Missing Custom Error Page - Inadequate security documentation and guidance
V1,Plan,V1.4,Developer Tool Operation,V1.4.1,Verify a company approved IDE/code writing tool is used and up-to-date,X,,,NIST 800-53: CM-7,CICD-SEC-4,CWE-1104,Use of Unmaintained Third Party Components - Outdated development tools
V1,Plan,V1.4,Developer Tool Operation,V1.4.2,Verify IDE/code writing tool Plugin/s meet company policy and are approved,X,,,NIST 800-53: CM-7(5),CICD-SEC-4,CWE-1195,Manufacturing or Development Artifact in Released Binary - Unapproved development components
V1,Plan,V1.4,Developer Tool Operation,V1.4.3,Verify developer IDE/code writing tool plugins are routinely update,X,,,NIST 800-53: CM-7(6),CICD-SEC-4,CWE-1104,Use of Unmaintained Third Party Components - Outdated development plugins
V1,Plan,V1.4,Developer Tool Operation,V1.4.4,Verify that developer tools are configured to use secure communication protocols (e.g. HTTPS),,X,,NIST 800-53: SC-13,CICD-SEC-7,CWE-319,Cleartext Transmission of Sensitive Information - Insecure communication channels
V1,Plan,V1.4,Developer Tool Operation,V1.4.5,Verify that developer tools are monitored for unauthorized changes or usage,,X,,NIST 800-53: SI-4,CICD-SEC-10,CWE-693,Protection Mechanism Failure - Lack of monitoring for security controls
V1,Plan,V1.5,Source Code Management Hardening,V1.5.1,Verify a Version Control System is used that implements RBAC,X,,,"NIST 800-53: AC-2, AC-3 , AC-6",CICD-SEC-1,CWE-284;CWE-291,Improper Access Control;Reliance on IP Address for Authentication - Lack of source code access controls
V1,Plan,V1.5,Source Code Management Hardening,V1.5.2,Verify a .gitignore file is present to prevent commit of possible sensitive data or files,X,,,"NIST 800-53: SC-28, SI-19",CICD-SEC-6,CWE-200;CWE-312,Exposure of Sensitive Information;Cleartext Storage of Sensitive Information - Preventing sensitive data exposure
V1,Plan,V1.5,Source Code Management Hardening,V1.5.3,Verify Version Control System enforces branch schema to help with tracking vulnerability remediation,,,X,"NIST 800-53: CM-3, RA-5",CICD-SEC-1,CWE-284,Improper Access Control - Branch protection and workflow enforcement
-,-,-,-,-,-,-,-,-,-,-,-,-
V2,Develop,V2.1,Secure Coding Practices,V21.1.1,Verify secure coding OSS policy enforcement as it pertains to pipelines,X,,,NIST 800-53: SA-15,CICD-SEC-3,CWE-1104;CWE-1333,Use of Unmaintained Third Party Components;Inefficient Regular Expression Complexity - OSS security
V2,Develop,V2.2,Software Quality,V2.2.1,Verify monthly Linting scans are conducted,X,,,NIST 800-53: RA-5,CICD-SEC-4,CWE-398;CWE-1041,Indicator of Poor Code Quality;Use of Redundant Code - Code quality checks
V2,Develop,V2.2,Software Quality,V2.2.2,Verify monthly Linting scan detections are remediated,X,,,NIST 800-53: SI-2,CICD-SEC-4,CWE-398;CWE-1041,Indicator of Poor Code Quality;Use of Redundant Code - Code quality remediation
V2,Develop,V2.2,Software Quality,V2.2.3,Verify monthly Style scans are conducted,X,,,NIST 800-53: RA-5,CICD-SEC-4,CWE-398,Indicator of Poor Code Quality - Style consistency
V2,Develop,V2.2,Software Quality,V2.2.4,Verify monthly Style scan detections are remediated,X,,,NIST 800-53: SI-2,CICD-SEC-4,CWE-398,Indicator of Poor Code Quality - Style remediation
V2,Develop,V2.2,Software Quality,V2.2.5,Verify that unit tests cover security-related code paths,,X,,NIST 800-53: SA-11,CICD-SEC-4,CWE-1041;CWE-358,Use of Redundant Code;Improperly Implemented Security Check - Security testing coverage
V2,Develop,V2.2,Software Quality,V2.2.6,Verify that code quality tools are configured to flag insecure coding patterns,X,,,NIST 800-53: SA-15,CICD-SEC-4,CWE-398;CWE-1041,Indicator of Poor Code Quality;Use of Redundant Code - Automated code analysis
V2,Develop,V2.3,Code Review and Analysis,V2.3.1,"Verify code review policy to ensure that commits requires a security code review. 
- Consider cases where reviews by more than 1 person is required.",,,X,NIST 800-53: CM-3,CICD-SEC-1,CWE-1053;CWE-702,Missing Documentation for Design;Insufficient Encapsulation - Code review process
V2,Develop,V2.3,Code Review and Analysis,V2.3.2,Verify code reviews are conducted where required as per security code review policy,,,X,NIST 800-53: CM-4,CICD-SEC-1,CWE-1053;CWE-702,Missing Documentation for Design;Insufficient Encapsulation - Code review implementation
V2,Develop,V2.4,Perform Security Checks,V2.4.1,Verify first party code security tool conducting monthly security scans on production repositories,,X,,NIST 800-53: RA-5,CICD-SEC-1,CWE-1069;CWE-1041,Empty Exception Block;Use of Redundant Code - Security scanning
V2,Develop,V2.4,Perform Security Checks,V2.4.2,Verify first party code security tool is on the latest version,,X,,NIST 800-53: SI-2,CICD-SEC-1,CWE-1104,Use of Unmaintained Third Party Components - Security tool maintenance
V2,Develop,V2.4,Perform Security Checks,V2.4.3,Verify first party code security tool is updated monthly when scanning,,X,,NIST 800-53: CM-7,CICD-SEC-1,CWE-1104,Use of Unmaintained Third Party Components - Security tool updates
V2,Develop,V2.4,Perform Security Checks,V2.4.4,Verify 3rd party code security tool conducting monthly scans on production repositories,,X,,NIST 800-53: SA-11,CICD-SEC-8,CWE-1069;CWE-1041,Empty Exception Block;Use of Redundant Code - Third party security scanning
V2,Develop,V2.4,Perform Security Checks,V2.4.5,Verify 3rd party code security tool is on the latest version,,X,,NIST 800-53: SA-15,CICD-SEC-8,CWE-1104,Use of Unmaintained Third Party Components - Third party tool maintenance
V2,Develop,V2.4,Perform Security Checks,V2.4.6,Verify 3rd party code security tool is updated at least monthly when scanning,,X,,NIST 800-53: CM-7,CICD-SEC-8,CWE-1104,Use of Unmaintained Third Party Components - Third party tool updates
V2,Develop,V2.4,Perform Security Checks,V2.4.7,Verify Secrets Detection tool conducting monthly scans on critical repositories ,,X,,NIST 800-53: SI-12,CICD-SEC-6,CWE-798;CWE-312,Use of Hard-coded Credentials;Cleartext Storage of Sensitive Information - Secrets detection
V2,Develop,V2.4,Perform Security Checks,V2.4.8,Verify Secrets Detection tool is on the latest version,,X,,NIST 800-53: SI-2,CICD-SEC-6,CWE-1104,Use of Unmaintained Third Party Components - Secrets detection tool maintenance
V2,Develop,V2.4,Perform Security Checks,V2.4.9,Verify Secrets Detection tool is consistently updated when scanning,,X,,NIST 800-53: CM-7,CICD-SEC-6,CWE-1104,Use of Unmaintained Third Party Components - Secrets detection tool updates
V2,Develop,V2.4,Perform Security Checks,V2.4.10,Verify security Infrastructure as Code (IaC) tool conducting monthly scans on production repositories,,X,,NIST 800-53: CA-7,CICD-SEC-7,CWE-1069;CWE-1041,Empty Exception Block;Use of Redundant Code - IaC security scanning
V2,Develop,V2.4,Perform Security Checks,V2.4.11,Verify security Infrastructure as Code (IaC) tool is on the latest version,,X,,NIST 800-53: SI-2,CICD-SEC-7,CWE-1104,Use of Unmaintained Third Party Components - IaC tool maintenance
V2,Develop,V2.4,Perform Security Checks,V2.4.12,Verify security Infrastructure as Code (IaC) tool is updated at least monthly when scanning,,X,,NIST 800-53: CM-7,CICD-SEC-7,CWE-1104,Use of Unmaintained Third Party Components - IaC tool updates
V2,Develop,V2.4,Perform Security Checks,V2.4.13,Verify that Infrastructure as Code (IaC) tools are configured to enforce security policies,,X,,NIST 800-53: CM-6,CICD-SEC-7,CWE-1069;CWE-1041,Empty Exception Block;Use of Redundant Code - IaC security enforcement
